,entity_id,entity_type,time_index,fiware_servicepath,__original_ngsi_entity__,weight_id,angular_coefficient_c1,angular_coefficient_c2,angular_coefficient_c3,angular_coefficient_c4,angular_coefficient_c5,angular_coefficient_c6,angular_coefficient_c7,angular_coefficient_c8,external_power_c1,external_power_c2,external_power_c3,external_power_c4,external_power_c5,external_power_c6,external_power_c7,external_power_c8,firmware_c1,firmware_c2,firmware_c3,firmware_c4,firmware_c5,firmware_c6,firmware_c7,firmware_c8,point_c1,point_c2,point_c3,point_c4,point_c5,point_c6,point_c7,point_c8,serialn_c1,serialn_c2,serialn_c3,serialn_c4,serialn_c5,serialn_c6,serialn_c7,serialn_c8,temperature_c1,temperature_c2,temperature_c3,temperature_c4,temperature_c5,temperature_c6,temperature_c7,temperature_c8,weight_c1,weight_c2,weight_c3,weight_c4,weight_c5,weight_c6,weight_c7,weight_c8,voltage_c1,voltage_c2,voltage_c3,voltage_c4,voltage_c5,voltage_c6,voltage_c7,voltage_c8,datetime,total_weight
11,urn:ngsi-v2:DSX:002,DSX,1646397440147,/,,1ce58a92-9cbe-455c-bce9-f52ae7167fa8,,,,,,,,,,,,,,,,,,,,,,,,,"14781,4","15981,0","17552,7","17206,3","9125,3","5597,7","4011,2","5968,3",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,6","9,4","9,8","10,2","11,9","11,7","11,1","12,0",2,2,0,0,-2,-2,0,-1,"11,3 5,0","11,3 5,0","11,3 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:37:20.147,-1
587,urn:ngsi-v2:DSX:002,DSX,1646397445351,/,,1ce58a92-9cbe-455c-bce9-f52ae7167fa8,,,,,,,,,,,,,,,,,,,,,,,,,"14774,6","15977,0","17549,0","17203,2","9118,3","5593,6","4008,8","5971,8",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,6","9,4","9,8","10,2","11,9","11,7","11,1","12,0",1,1,0,0,-3,-3,-1,0,"11,3 5,0","11,3 5,0","11,3 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:37:25.351,-5
7,urn:ngsi-v2:DSX:002,DSX,1646397450007,/,,1ce58a92-9cbe-455c-bce9-f52ae7167fa8,,,,,,,,,,,,,,,,,,,,,,,,,"14767,0","15971,1","17547,6","17213,7","9127,5","5603,6","4007,1","5967,3",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,6","9,4","9,8","10,2","11,9","11,7","11,1","12,0",-1,0,-1,1,-2,-1,-1,-1,"11,3 5,0","11,3 5,0","11,3 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:37:30.007,-6
858,urn:ngsi-v2:DSX:002,DSX,1646397455015,/,,1ce58a92-9cbe-455c-bce9-f52ae7167fa8,,,,,,,,,,,,,,,,,,,,,,,,,"14773,2","15974,4","17559,8","17201,8","9131,7","5607,6","4000,7","5962,8",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,6","9,4","9,8","10,2","11,9","11,7","11,1","12,0",0,0,1,-1,-1,0,-2,-2,"11,3 5,0","11,3 5,0","11,3 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:37:35.015,-5
853,urn:ngsi-v2:DSX:002,DSX,1646397459812,/,,1ce58a92-9cbe-455c-bce9-f52ae7167fa8,,,,,,,,,,,,,,,,,,,,,,,,,"14772,1","15971,5","17558,5","17211,3","9126,7","5591,0","4011,2","5969,1",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,6","9,4","9,8","10,2","11,9","11,7","11,1","12,0",0,0,1,1,-2,-3,0,-1,"11,3 5,0","11,3 5,0","11,3 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:37:39.812,-4
583,urn:ngsi-v2:DSX:002,DSX,1646397464798,/,,1ce58a92-9cbe-455c-bce9-f52ae7167fa8,,,,,,,,,,,,,,,,,,,,,,,,,"14773,1","15977,5","17550,7","17204,0","9130,4","5596,8","4006,4","5966,5",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,6","9,4","9,8","10,2","11,9","11,7","11,1","12,0",0,1,0,0,-1,-2,-1,-1,"11,3 5,0","11,3 5,0","11,3 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:37:44.798,-4
854,urn:ngsi-v2:DSX:002,DSX,1646397469691,/,,1ce58a92-9cbe-455c-bce9-f52ae7167fa8,,,,,,,,,,,,,,,,,,,,,,,,,"14774,0","15971,4","17553,5","17210,4","9126,4","5596,2","4007,5","5965,7",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,6","9,4","9,8","10,2","11,9","11,7","11,1","12,0",1,0,0,1,-2,-2,-1,-1,"11,3 5,0","11,3 5,0","11,3 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:37:49.691,-4
298,urn:ngsi-v2:DSX:002,DSX,1646397474624,/,,1ce58a92-9cbe-455c-bce9-f52ae7167fa8,,,,,,,,,,,,,,,,,,,,,,,,,"14771,8","15969,2","17551,1","17208,1","9126,9","5600,2","4009,8","5971,6",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,6","9,4","9,8","10,2","11,9","11,7","11,1","12,0",0,0,0,0,-2,-2,-1,0,"11,3 5,0","11,3 5,0","11,3 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:37:54.624,-5
579,urn:ngsi-v2:DSX:002,DSX,1646397479685,/,,1ce58a92-9cbe-455c-bce9-f52ae7167fa8,,,,,,,,,,,,,,,,,,,,,,,,,"14772,1","15968,9","17547,8","17202,4","9131,5","5604,1","4009,9","5967,1",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,6","9,4","9,8","10,2","11,9","11,7","11,1","12,0",0,-1,-1,-1,-1,-1,-1,-1,"11,3 5,0","11,3 5,0","11,3 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:37:59.685,-7
13,urn:ngsi-v2:DSX:002,DSX,1646397484573,/,,1ce58a92-9cbe-455c-bce9-f52ae7167fa8,,,,,,,,,,,,,,,,,,,,,,,,,"14773,3","15970,4","17554,3","17207,4","9133,4","5600,4","4009,5","5967,1",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,6","9,4","9,8","10,2","11,9","11,7","11,1","12,0",0,0,0,0,-1,-2,-1,-1,"11,3 5,0","11,3 5,0","11,3 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:38:04.573,-5
